trade_date,stock_code,code,name,trade,high,low,open,changepercent,pricechange,volume,amount,amplitude,turnover,dynamic_pe,presettlement,aggregate_value,market_value,pb,first_trade_date
2021-10-25,sh605566,605566,N福莱,40.2,46.38,38.65,38.65,24.81,7.99,164702,682831600.0,24.0,49.4,28.32,32.21,5360268000,1340268000,2.67,20211025
2021-10-25,sh688663,688663,新风光,42.4,42.4,37.0,37.0,20.01,7.07,79979,331179248.0,15.28,25.4,72.42,35.33,5933880000,1335218400,6.0,20210413
2021-10-25,sz300712,300712,永福股份,70.91,70.91,59.2,60.45,20.0,11.82,131364,879757360.0,19.82,7.21,504.3,59.09,12912994640,12912994640,12.36,20171031
2021-10-25,sz300672,300672,国科微,162.22,162.22,155.45,162.22,20.0,27.04,80713,1296289104.0,5.01,4.66,120.78,135.18,29216973924,28075805215,20.9,20170712
2021-10-25,sz300827,300827,上能电气,137.09,137.09,115.0,117.54,20.0,22.85,168321,2167334896.0,19.34,31.21,378.08,114.24,18095945803,7392644053,21.18,20200410
2021-10-25,sh688389,688389,普门科技,21.66,21.66,18.47,18.49,20.0,3.61,117535,247397065.0,17.67,7.55,56.11,18.05,9144852000,3372057391,7.72,20191105
2021-10-25,sz300839,300839,博汇股份,19.44,19.44,16.31,16.31,20.0,3.24,53489,97655271.0,19.32,8.89,80.22,16.2,2628288000,1170212378,3.13,20200630
2021-10-25,sz300499,300499,高澜股份,16.44,16.44,13.95,13.97,20.0,2.74,293373,454500352.0,18.18,12.27,136.52,13.7,4591837412,3931611993,5.56,20160202
2021-10-25,sz300437,300437,清水源,34.08,34.08,27.72,29.01,20.0,5.68,389834,1221818000.0,22.39,25.52,297.28,28.4,7975563344,5206478144,6.31,20150423
2021-10-25,sz301018,301018,申菱环境,30.02,30.02,25.6,26.0,19.98,5.0,188057,544530960.0,17.67,36.72,56.14,25.02,7205100200,1537446471,3.96,20210707
2021-10-25,sz300088,300088,长信科技,9.37,9.37,8.22,8.29,19.97,1.56,2980305,2713229152.0,14.72,12.2,21.58,7.81,23002014363,22887445199,3.05,20100526
2021-10-25,sz300856,300856,科思股份,47.09,47.84,43.05,43.1,16.91,6.81,50397,231281758.0,11.89,12.98,35.67,40.28,5315519200,1828033800,3.39,20200722
2021-10-25,sz300769,300769,德方纳米,630.0,635.0,551.5,552.36,16.58,89.58,35842,2128034736.0,15.45,6.58,208.04,540.42,56212809660,34306744500,24.86,20190415
2021-10-25,sz300432,300432,富临精工,54.0,54.09,45.87,47.32,16.48,7.64,373427,1885623232.0,17.73,5.15,125.13,46.36,40142641392,39174692418,17.76,20150319
2021-10-25,sz300091,300091,金通灵,5.51,5.74,5.07,5.23,15.27,0.73,2105929,1168543840.0,14.02,19.68,79.88,4.78,8205294819,5897393140,2.49,20100625
2021-10-25,sh688186,688186,广大特材,54.62,54.93,46.96,46.96,14.97,7.11,56344,293692816.0,16.78,5.69,39.05,47.51,11701788800,5410657200,3.77,20200211
2021-10-25,sz300052,300052,中青宝,21.94,22.88,18.55,19.49,14.69,2.81,987719,2038736928.0,22.63,37.82,250.11,19.13,5776128442,5730634821,8.15,20100211
2021-10-25,sh688636,688636,智明达,139.8,139.8,121.01,122.27,14.58,17.79,6611,87983595.0,15.4,6.22,77.28,122.01,7036916880,1485375000,8.5,20210408
2021-10-25,sz300118,300118,东方日升,22.13,22.95,20.51,20.6,14.07,2.73,1000434,2202675456.0,12.58,11.12,42.25,19.4,19947095494,19904738674,2.24,20100902
2021-10-25,sz300035,300035,中科电气,34.86,36.2,30.51,30.51,13.37,4.11,382791,1306710960.0,18.5,7.25,70.22,30.75,22392872625,18407172129,10.11,20091225
2021-10-25,sz300693,300693,盛弘股份,54.52,56.78,49.2,50.21,13.23,6.37,310982,1654089408.0,15.74,22.1,111.8,48.15,11191619878,7670297766,14.27,20170822
2021-10-25,sz300164,300164,通源石油,5.76,5.87,5.18,5.18,13.16,0.67,781664,439143920.0,13.56,17.52,82.14,5.09,2954003265,2570148605,3.21,20110113
2021-10-25,sz300162,300162,雷曼光电,12.85,13.33,11.05,11.38,12.92,1.47,502780,613698672.0,20.04,19.03,74.68,11.38,4491203886,3394555446,7.09,20110113
2021-10-25,sh688390,688390,固德威,435.05,440.25,390.0,390.2,12.42,48.05,26997,1138399968.0,12.98,4.77,125.05,387.0,38284400000,24630541081,25.4,20200904
2021-10-25,sh688233,688233,神工股份,84.82,86.8,74.08,76.99,11.46,8.72,60898,492742256.0,16.71,7.47,60.25,76.1,13571200000,6913871929,9.94,20200221
2021-10-25,sh688682,688682,霍莱沃,131.0,133.01,113.45,117.0,11.26,13.26,6971,85301675.0,16.61,8.87,255.07,117.74,4847000000,1029987500,8.9,20210420
2021-10-25,sz301059,301059,金三江,21.89,22.47,19.5,19.63,10.95,2.16,88622,188160542.0,15.05,30.71,51.59,19.73,2663137400,631722897,5.23,20210913
2021-10-25,sz300656,300656,民德电子,44.62,45.6,39.64,39.64,10.86,4.37,33090,143691779.0,14.81,4.0,103.85,40.25,5345029800,3690771188,10.57,20170519
2021-10-25,sh688255,688255,N凯尔达,52.18,58.68,44.1,44.8,10.76,5.07,121144,622988832.0,30.95,72.41,66.13,47.11,4091674402,872960025,3.7,20211025
2021-10-25,sz300990,300990,同飞股份,106.15,110.0,97.0,99.0,10.57,10.15,33601,355312512.0,13.54,25.85,43.81,96.0,5519800000,1379950000,3.68,20210512
2021-10-25,sh688680,688680,海优新材,277.96,280.0,246.5,250.29,10.39,26.16,13087,356975728.0,13.3,6.49,147.12,251.8,23354199200,5606342016,10.94,20210122
2021-10-25,sz002665,002665,首航高科,3.49,3.49,3.15,3.22,10.09,0.32,1464515,494344256.0,10.73,5.97,-67.16,3.17,8860135372,8562684878,1.57,20120327
2021-10-25,sz000055,000055,方大集团,4.69,4.69,4.67,4.69,10.09,0.43,265827,124672161.0,0.47,3.92,22.59,4.26,5036470125,3177068748,0.92,19960415
2021-10-25,sh603603,603603,博天环境,6.11,6.11,5.4,5.5,10.09,0.56,166199,98130516.0,12.79,6.49,-15.28,5.55,2552660582,1565783659,5.75,20170217
2021-10-25,sh601388,601388,怡球资源,5.35,5.35,4.9,4.95,10.08,0.49,596367,311948816.0,9.26,2.96,13.53,4.86,11778101965,10788606978,3.35,20120423
2021-10-25,sh600969,600969,郴电国际,7.54,7.54,6.75,6.86,10.07,0.69,92400,67823027.0,11.53,2.5,49.49,6.85,2790180649,2790180649,0.78,20040408
2021-10-25,sz000416,000416,民生控股,4.7,4.7,4.03,4.42,10.07,0.43,550615,236679069.0,15.69,10.36,222.52,4.27,2499796022,2498713161,2.81,19960719
2021-10-25,sz002339,002339,积成电子,7.88,7.88,7.08,7.1,10.06,0.72,215371,167117008.0,11.17,4.47,-80.06,7.16,4033021824,3794174729,2.25,20100122
2021-10-25,sh600063,600063,皖维高新,7.34,7.34,6.76,6.85,10.04,0.67,3183670,2274939728.0,8.7,16.53,14.71,6.67,14136067039,14136067039,2.41,19970528
2021-10-25,sz002293,002293,罗莱生活,12.93,12.93,12.05,12.09,10.04,1.18,170230,214653130.0,7.49,2.07,16.57,11.75,10848242601,10625511882,2.53,20090910
2021-10-25,sh603819,603819,神力股份,11.95,11.95,10.75,10.97,10.04,1.09,111346,129760419.0,11.05,5.12,267.23,10.86,2601875735,2597308445,3.39,20161125
2021-10-25,sh603028,603028,赛福天,10.86,10.86,9.78,9.87,10.03,0.99,76728,81155885.0,10.94,2.67,69.03,9.87,3117254400,3117254400,4.09,20160331
2021-10-25,sh601137,601137,博威合金,15.69,15.69,14.26,14.26,10.03,1.43,327725,507026432.0,10.03,4.55,35.42,14.26,12395805611,11297283723,2.29,20110127
2021-10-25,sz001216,001216,华瓷股份,19.75,19.75,18.56,18.8,10.03,1.8,161614,310667632.0,6.63,25.67,47.11,17.95,4974367325,1243592325,3.96,20211019
2021-10-25,sz002927,002927,泰永长征,12.07,12.07,10.9,10.97,10.03,1.1,91220,106502725.0,10.67,4.1,29.49,10.97,2695902092,2683863957,3.1,20180223
