trade_date,stock_code,code,name,trade,high,low,open,changepercent,pricechange,volume,amount,amplitude,turnover,dynamic_pe,presettlement,aggregate_value,market_value,pb,first_trade_date
2021-10-27,sz301082,301082,N久盛,26.21,29.5,23.51,23.51,69.32,10.73,246641,661672960.0,38.7,72.59,45.61,15.48,4236831036,890579211,4.09,20211027
2021-10-27,sz301089,301089,N拓新,28.82,34.01,26.5,26.51,50.81,9.71,175202,512309648.0,39.3,63.69,41.34,19.11,3631320000,792735370,3.3,20211027
2021-10-27,sh605138,605138,N盛泰,14.36,14.36,11.96,11.96,44.03,4.39,230335,324008304.0,24.07,41.46,25.54,9.97,7977841600,797841600,3.82,20211027
2021-10-27,sh688280,688280,N精进-UW,17.7,19.28,14.99,14.99,28.45,3.92,782371,1350665808.0,31.13,78.53,-28.13,13.78,10446923506,1763314144,4.9,20211027
2021-10-27,sz300139,300139,晓程科技,12.11,12.11,11.51,12.11,20.02,2.02,597082,718296272.0,5.95,25.67,28.84,10.09,3318140000,2816628873,3.14,20101112
2021-10-27,sz300854,300854,中兰环保,32.39,32.39,26.75,27.01,20.01,5.4,93584,278093120.0,20.9,39.79,49.84,26.99,3209654660,761801496,3.65,20210916
2021-10-27,sh688080,688080,映翰通,54.78,54.78,54.02,54.69,20.0,9.13,9932,54371876.0,1.66,2.66,23.44,45.65,2872048897,2045355152,3.95,20200212
2021-10-27,sz300922,300922,天秦装备,43.26,43.26,37.55,37.55,20.0,7.21,94610,395100784.0,15.84,33.79,64.07,36.05,4845466080,1211366520,5.79,20201225
2021-10-27,sz300332,300332,天壕环境,9.55,9.82,8.15,8.23,16.75,1.37,1422773,1329008720.0,20.42,16.92,123.26,8.18,8406131999,8029610357,2.48,20120628
2021-10-27,sz300268,300268,佳沃食品,24.67,25.86,21.53,22.32,11.43,2.53,110287,260293362.0,19.56,8.24,-30.41,22.14,4297514000,3300211364,-8.27,20110927
2021-10-27,sz300986,300986,志特新材,52.45,53.88,45.53,46.35,11.24,5.3,27330,136682333.0,17.71,9.85,44.07,47.15,6140146684,1455727249,5.24,20210430
2021-10-27,sz300031,300031,宝通科技,22.6,23.26,19.73,20.37,11.22,2.28,445862,972308416.0,17.37,13.74,20.18,20.32,8967455582,7334554099,2.84,20091225
2021-10-27,sz300343,300343,联创股份,26.8,27.77,25.0,25.06,10.24,2.49,1698858,4510860544.0,11.39,18.09,142.72,24.31,30995434033,25165233527,37.11,20120801
2021-10-27,sz300850,300850,新强联,227.77,235.39,195.0,199.0,10.21,21.1,39634,889749344.0,19.54,3.83,82.84,206.67,44175160367,23600388550,13.3,20200713
2021-10-27,sh688389,688389,普门科技,22.8,23.64,20.7,20.92,10.2,2.11,113491,255428357.0,14.21,7.29,59.06,20.69,9626160000,3549534096,8.13,20191105
2021-10-27,sh600327,600327,大东方,5.79,5.79,5.51,5.54,10.08,0.53,217212,124166843.0,5.32,2.45,9.57,5.26,5122873409,5122873409,1.52,20020625
2021-10-27,sz002622,002622,融钰集团,4.7,4.7,4.43,4.45,10.07,0.43,474833,222227407.0,6.32,5.65,221.4,4.27,3948000000,3947883675,4.43,20111018
2021-10-27,sh688663,688663,新风光,46.23,48.5,43.01,43.8,10.05,4.22,82979,377375248.0,13.07,26.35,62.22,42.01,6469888500,1455828930,6.54,20210413
2021-10-27,sz002165,002165,红 宝 丽,7.34,7.34,6.35,6.57,10.04,0.67,876371,618584832.0,14.84,14.75,84.52,6.67,5396880604,4360618537,2.53,20070913
2021-10-27,sh600021,600021,上海电力,10.85,10.85,9.79,9.93,10.04,0.99,793191,847465952.0,10.75,3.03,20.12,9.86,28396231537,28396231537,1.69,20031029
2021-10-27,sz000537,000537,广宇发展,18.65,18.65,16.02,16.49,10.03,1.7,784671,1417926320.0,15.52,4.53,18.28,16.95,34736011428,32290739300,2.19,19931210
2021-10-27,sh600011,600011,华能国际,7.57,7.57,6.62,6.63,10.03,0.69,2250749,1634726224.0,13.81,2.05,113.84,6.88,118834566728,83252664087,1.73,20011206
2021-10-27,sz001217,001217,华尔泰,19.64,19.64,17.63,17.71,10.03,1.79,259066,497348944.0,11.26,31.22,17.94,17.85,6517926800,1629530800,3.79,20210929
2021-10-27,sz002748,002748,世龙实业,11.96,11.96,10.79,10.87,10.03,1.09,88957,104156501.0,10.76,3.71,23.03,10.87,2870400000,2870400000,2.88,20150319
2021-10-27,sh605286,605286,同力日升,26.79,26.79,26.15,26.79,10.02,2.44,114011,305394208.0,2.63,27.15,29.17,24.35,4500720000,1125180000,3.13,20210322
2021-10-27,sz002202,002202,金风科技,18.34,18.34,16.99,17.16,10.02,1.67,2062635,3676214768.0,8.1,6.08,19.29,16.67,77487740646,62238533529,2.35,20071226
2021-10-27,sz000422,000422,湖北宜化,33.83,33.83,30.2,30.72,10.02,3.08,1427662,4662022400.0,11.8,15.9,20.93,30.75,30374830867,30373013249,28.66,19960815
