,trade_date,symbol,code,name,trade,high,low,open,changepercent,pricechange,volume,amount,amplitude,turnover,dynamic_pe,presettlement,aggregate_value,market_value,pb,first_trade_date
0,2021-10-19,sh688722,688722,N同益中,16.33,16.34,14.2,14.88,262.08,11.82,405177,617696656.0,47.45,94.13,61.31,4.51,3668807211,702939416,3.76,20211019
1,2021-10-19,sz301079,301079,N邵阳,32.19,36.36,29.67,30.0,170.05,20.27,123700,387482016.0,56.12,69.12,51.09,11.92,2700526421,576116823,6.52,20211019
2,2021-10-19,sz001216,001216,N华瓷,13.49,13.49,11.24,11.24,43.97,4.12,8781,11790865.0,24.01,1.39,32.18,9.37,3397681783,849420783,2.7,20211019
3,2021-10-19,sz301018,301018,申菱环境,25.9,25.9,25.9,25.9,20.02,4.32,66380,171924122.0,0.0,12.96,48.44,21.58,6216259000,1326444491,3.42,20210707
4,2021-10-19,sz300967,300967,晓鸣股份,29.02,29.02,23.0,24.18,20.02,4.84,280749,739461456.0,24.9,59.73,52.37,24.18,5441424120,1363940000,6.84,20210413
5,2021-10-19,sz300686,300686,智动力,15.48,15.48,12.95,12.95,20.0,2.58,183356,274075456.0,19.61,9.24,35.4,12.9,4111863235,3070706996,2.37,20170804
6,2021-10-19,sz300531,300531,优博讯,20.2,20.77,17.1,17.1,16.7,2.89,375318,732820928.0,21.2,12.34,40.33,17.31,6687162934,6143487186,4.18,20160809
7,2021-10-19,sz300660,300660,江苏雷利,29.45,29.58,27.1,27.1,14.77,3.79,131300,371422544.0,9.66,10.58,23.61,25.66,7637576783,3654859767,2.97,20170602
8,2021-10-19,sh688068,688068,热景生物,119.9,125.49,104.7,105.11,14.22,14.93,42502,494220160.0,19.81,9.7,2.57,104.97,7457341286,5252311943,3.52,20190930
9,2021-10-19,sz300313,300313,ST天山,11.18,11.68,9.42,9.79,13.5,1.33,206759,215735847.0,22.94,11.23,-169.51,9.85,3499087287,2059122103,24.57,20120425
10,2021-10-19,sz301080,301080,C百普,191.25,192.88,172.0,172.25,13.29,22.43,68652,1249568784.0,12.37,34.33,106.09,168.82,15300000000,3825000000,6.46,20211018
11,2021-10-19,sz300343,300343,联创股份,21.8,22.28,18.38,18.6,13.19,2.54,1933858,3979958928.0,20.25,20.59,116.1,19.26,25212703803,20470227272,30.19,20120801
12,2021-10-19,sz300622,300622,博士眼镜,23.95,24.26,21.02,21.03,12.18,2.6,49083,113807702.0,15.18,4.61,45.77,21.35,4125832275,2549160977,6.94,20170315
13,2021-10-19,sh688800,688800,瑞可达,81.87,85.0,71.6,71.6,12.17,8.88,13585,107174843.0,18.36,6.18,120.45,72.99,8841960000,1798772565,9.61,20210722
14,2021-10-19,sz300141,300141,和顺电气,13.3,14.3,12.1,12.1,11.58,1.38,360107,495103648.0,18.46,19.49,2272.85,11.92,3376665180,2457287332,5.06,20101112
15,2021-10-19,sz300233,300233,金城医药,30.9,31.06,27.37,27.58,11.31,3.14,105320,313706128.0,13.29,2.87,64.83,27.76,12059940544,11332717573,3.57,20110622
16,2021-10-19,sz300921,300921,南凌科技,22.0,22.0,20.07,20.38,11.06,2.19,17199,35646102.0,9.74,5.24,47.17,19.81,2897122140,721908000,3.72,20201222
17,2021-10-19,sh688683,688683,莱尔科技,22.53,22.77,20.11,20.55,11.04,2.24,16366,35494251.0,13.11,5.08,53.61,20.29,3347056800,725605686,4.2,20210412
18,2021-10-19,sz300731,300731,科创新源,33.9,34.5,30.55,30.9,10.89,3.33,55889,182200699.0,12.92,4.75,100.62,30.57,4240493607,3990158549,6.9,20171208
