trade_date,stock_code,code,name,trade,high,low,open,changepercent,pricechange,volume,amount,amplitude,turnover,dynamic_pe,presettlement,aggregate_value,market_value,pb,first_trade_date
2021-10-26,sz301090,301090,N华润材,18.97,18.98,13.58,14.6,81.53,8.52,1119812,1656765072.0,51.67,66.89,52.17,10.45,28064532010,3175614745,4.67,20211026
2021-10-26,sz300092,300092,科新机电,12.7,12.7,10.47,10.58,20.04,2.12,341101,412312560.0,21.08,20.37,28.83,10.58,2941307300,2126735460,4.08,20100708
2021-10-26,sz300956,300956,英力股份,23.44,23.44,19.6,19.6,20.02,3.91,94933,218537976.0,19.66,28.77,42.9,19.53,3094080000,773520000,2.87,20210326
2021-10-26,sh688633,688633,星球石墨,67.5,67.5,57.08,57.08,20.0,11.25,23742,152975953.0,18.52,13.74,45.61,56.25,4909500045,1166006340,4.27,20210324
2021-10-26,sz300752,300752,隆利科技,22.98,22.98,19.15,19.4,20.0,3.83,100263,215320879.0,20.0,15.64,-26.14,19.15,4647408880,1473202966,5.76,20181130
2021-10-26,sz301072,301072,中捷精工,25.87,25.87,25.02,25.87,19.99,4.31,123977,320517008.0,3.94,49.78,55.77,21.56,2717767676,644319358,3.63,20210929
2021-10-26,sh688385,688385,复旦微电,50.78,51.63,46.01,47.5,16.47,7.18,168165,822494688.0,12.89,21.09,106.41,43.6,41360411560,4049152920,14.74,20210804
2021-10-26,sz300136,300136,信维通信,24.76,25.5,21.98,22.28,15.06,3.24,726625,1747444912.0,16.36,8.82,37.6,21.52,23956999477,20392203559,3.98,20101105
2021-10-26,sz300088,300088,长信科技,10.65,10.95,9.61,9.81,13.66,1.28,4826567,4979787520.0,14.3,19.76,24.53,9.37,26144231906,26014011886,3.47,20100526
2021-10-26,sz300517,300517,海波重科,13.32,13.6,11.78,11.82,12.79,1.51,99723,129201353.0,15.41,8.86,19.69,11.81,2559690188,1499174165,3.01,20160719
2021-10-26,sz300969,300969,恒帅股份,124.8,126.0,115.99,115.99,12.44,13.81,31928,385696016.0,9.02,15.96,81.43,110.99,9984000000,2496000000,13.63,20210412
2021-10-26,sz300709,300709,精研科技,44.13,45.1,38.98,39.33,12.43,4.88,125834,534534496.0,15.59,11.78,188.51,39.25,6117872304,4714401942,3.91,20171019
2021-10-26,sz300652,300652,雷迪克,19.6,20.89,17.93,17.94,12.19,2.13,71485,141147784.0,16.94,8.56,22.09,17.47,1843981210,1636729948,1.94,20170516
2021-10-26,sz300712,300712,永福股份,78.96,85.09,77.02,77.02,11.35,8.05,207527,1691578944.0,11.38,11.4,561.55,70.91,14378931840,14378931840,13.76,20171031
2021-10-26,sz300660,300660,江苏雷利,32.18,33.35,28.56,29.0,11.27,3.26,135239,427773120.0,16.56,10.9,25.8,28.92,8345576260,3993663405,3.25,20170602
2021-10-26,sz301079,301079,邵阳液压,33.25,35.89,28.86,29.25,11.17,3.34,121851,391982352.0,23.5,68.08,52.77,29.91,2789453356,595088051,6.73,20211019
2021-10-26,sz300082,300082,奥克股份,23.4,25.28,21.1,21.46,11.06,2.33,571739,1345265264.0,19.84,8.44,61.73,21.07,15914297880,15857627783,4.91,20100520
2021-10-26,sz300400,300400,劲拓股份,24.1,24.6,21.5,22.02,10.5,2.29,122696,284668384.0,14.21,7.56,41.28,21.81,5847281780,3912337534,7.6,20141010
2021-10-26,sz300953,300953,震裕科技,105.91,106.88,98.0,98.0,10.46,10.03,33688,350520336.0,9.26,16.09,62.87,95.88,9858102800,2218073130,6.87,20210318
2021-10-26,sh601016,601016,节能风电,7.32,7.32,6.68,6.73,10.08,0.67,6311826,4568506112.0,9.62,14.09,37.12,6.65,36695540640,32796833105,3.45,20140929
2021-10-26,sh600735,600735,新华锦,6.78,6.78,6.29,6.48,10.06,0.62,173960,115626352.0,7.95,4.63,40.32,6.16,2549227767,2549227767,2.68,19960726
