,trade_date,symbol,code,name,trade,high,low,open,changepercent,pricechange,volume,amount,amplitude,turnover,dynamic_pe,presettlement,aggregate_value,market_value,pb,first_trade_date
0,2021-10-20,sz301081,301081,N严牌,20.9,23.03,19.88,19.93,61.39,7.95,266687,569681328.0,24.32,71.46,41.05,12.95,3567003000,779993225,3.71,20211020
1,2021-10-20,sh688285,688285,N高铁,10.65,12.96,10.5,12.51,48.33,3.47,552298,622351184.0,34.26,76.63,29.67,7.18,4007487573,767592967,2.78,20211020
2,2021-10-20,sz300290,300290,荣科科技,6.89,6.89,6.08,6.28,20.03,1.15,662416,437988848.0,14.11,11.66,181.13,5.74,4404346850,3915626383,2.89,20120216
3,2021-10-20,sz300437,300437,清水源,21.46,21.46,17.0,17.28,20.02,3.58,352273,695222944.0,24.94,23.06,187.2,17.88,5022171049,3278492399,3.97,20150423
4,2021-10-20,sz300786,300786,国林科技,35.21,35.52,28.52,29.4,18.95,5.61,122589,408731552.0,23.65,23.56,51.61,29.6,3599555059,1832324879,2.99,20190723
5,2021-10-20,sz300061,300061,旗天科技,7.36,7.62,6.8,6.8,15.91,1.01,927161,691712928.0,12.91,17.04,-166.91,6.35,4864549496,4004750837,3.79,20100319
6,2021-10-20,sz301086,301086,N鸿富瀚,111.99,129.74,111.9,129.7,15.86,15.33,68643,811282416.0,18.46,45.76,58.83,96.66,6719400000,1679850000,3.96,20211020
7,2021-10-20,sz300343,300343,联创股份,25.12,26.0,20.92,21.02,15.23,3.32,1825408,4276118768.0,23.3,19.44,133.78,21.8,29052436676,23587711425,34.78,20120801
8,2021-10-20,sz300720,300720,海川智能,15.37,16.43,13.81,13.83,11.86,1.63,159964,240128995.0,19.07,16.05,46.47,13.74,2987928000,1531537195,5.63,20171106
9,2021-10-20,sh688066,688066,航天宏图,53.97,54.64,48.55,48.55,11.35,5.5,61184,318977648.0,12.56,6.19,885.66,48.47,9928714156,5330871369,4.87,20190722
10,2021-10-20,sz301046,301046,能辉科技,58.4,60.99,52.0,52.34,10.44,5.52,103864,598746544.0,17.0,29.31,65.68,52.88,8729632000,2069578032,11.64,20210817
11,2021-10-20,sz002172,002172,澳洋健康,4.02,4.02,3.63,3.65,10.14,0.37,280857,108534651.0,10.68,3.63,-2.04,3.65,3121455075,3107698470,16.67,20070921
12,2021-10-20,sh600726,600726,华电能源,2.83,2.83,2.54,2.57,10.12,0.26,795718,222094662.0,11.28,5.18,-5.32,2.57,5565690683,4343130677,44.25,19960701
13,2021-10-20,sz000150,000150,宜华健康,3.92,3.92,3.43,3.55,10.11,0.36,814903,302788336.0,13.76,10.11,-9.87,3.56,3440574423,3159481749,-91.25,20000807
14,2021-10-20,sz002516,002516,旷达科技,5.56,5.56,5.11,5.11,10.1,0.51,149027,81383059.0,8.91,1.56,40.28,5.05,8177863072,5298555117,2.42,20101207
15,2021-10-20,sh600027,600027,华电国际,4.48,4.48,4.08,4.09,10.07,0.41,1163677,503683520.0,9.83,1.43,6.67,4.07,44216964803,36492928877,0.98,20050203
16,2021-10-20,sh600795,600795,国电电力,3.06,3.06,2.78,2.81,10.07,0.28,4314539,1284620608.0,10.07,2.42,11.46,2.78,54576994391,54576994391,1.08,19970318
17,2021-10-20,sh600172,600172,黄河旋风,11.5,11.5,10.75,10.75,10.05,1.05,1057866,1191990928.0,7.18,8.64,346.05,10.45,16585121474,14078556289,5.12,19981126
18,2021-10-20,sh600011,600011,华能国际,7.45,7.45,6.92,6.93,10.04,0.68,1162199,840013904.0,7.83,1.06,13.66,6.77,116950795525,81932938897,1.6,20011206
19,2021-10-20,sz002655,002655,共达电声,10.86,10.86,9.73,9.94,10.03,0.99,262067,273531504.0,11.45,7.28,38.98,9.87,3909600000,3908018784,6.52,20120217
0,2021-10-20,sz002182,002182,云海金属,20.08,20.08,17.53,17.81,10.03,1.83,739222,1427140096.0,13.97,13.27,45.62,18.25,12980164563,11188413071,4.48,20071113
