trade_date,stock_code,code,name,trade,high,low,open,changepercent,pricechange,volume,amount,amplitude,turnover,dynamic_pe,presettlement,aggregate_value,market_value,pb,first_trade_date
2021-10-29,sz300317,300317,珈伟新能,8.74,8.74,7.58,7.58,20.05,1.46,1259823,1064060928.0,15.93,16.38,98.63,7.28,7204240980,6722011349,3.6,20120511
2021-10-29,sz300514,300514,友讯达,13.0,13.0,11.3,11.4,20.04,2.17,137148,173199219.0,15.7,8.97,62.71,10.83,2600000000,1987856000,4.22,20170426
2021-10-29,sz300332,300332,天壕环境,10.61,10.61,8.75,8.99,20.02,1.77,1190100,1180974240.0,21.04,14.15,136.94,8.84,9339168640,8920855067,2.74,20120628
2021-10-29,sz300052,300052,中青宝,21.46,21.46,18.51,18.51,20.02,3.58,815749,1627091984.0,16.5,31.23,312.37,17.88,5649759178,5605260859,7.95,20100211
2021-10-29,sz300629,300629,新劲刚,30.59,30.59,25.81,26.4,20.01,5.1,122931,358986272.0,18.75,13.21,43.63,25.49,4269228897,2846302652,3.97,20170324
2021-10-29,sh688689,688689,银河微电,34.08,34.08,30.05,30.1,20.0,5.68,50287,166215230.0,14.19,16.49,31.17,28.4,4375872000,1039269600,4.22,20210127
2021-10-29,sh688536,688536,思瑞浦,774.0,774.0,666.79,666.79,20.0,129.0,15289,1131055664.0,16.62,3.57,148.98,645.0,61920000000,33107099220,20.92,20200921
2021-10-29,sz300643,300643,万通智控,13.14,13.14,11.29,11.45,20.0,2.19,153765,195021739.0,16.89,7.69,28.4,10.95,3022200000,2628000000,3.77,20170505
2021-10-29,sz300609,300609,汇纳科技,15.6,15.6,13.37,13.48,20.0,2.6,102562,152803917.0,17.15,11.3,58.54,13.0,1901989284,1416381720,1.74,20170215
2021-10-29,sz300478,300478,杭州高新,9.85,9.85,9.3,9.8,19.98,1.64,121596,118723633.0,6.7,9.6,53.98,8.21,1268167800,1247729050,13.39,20150610
2021-10-29,sh688680,688680,海优新材,335.01,337.21,287.01,297.11,15.25,44.32,15407,479821072.0,17.27,7.64,174.88,290.69,28147540200,6757017696,12.9,20210122
2021-10-29,sz300969,300969,恒帅股份,160.0,160.0,135.57,140.0,15.03,20.9,32200,464947984.0,17.56,16.1,106.15,139.1,12800000000,3200000000,16.8,20210412
2021-10-29,sz300459,300459,汤姆猫,4.41,4.49,3.9,3.91,14.84,0.57,4434423,1893128352.0,15.36,15.54,19.37,3.84,15504726241,12580758530,4.49,20150515
2021-10-29,sz300751,300751,迈为股份,765.0,769.5,690.28,705.09,14.71,98.12,26994,1981991216.0,11.88,5.14,129.71,666.88,78872804325,40141204695,28.42,20181109
2021-10-29,sh688269,688269,凯立新材,112.1,114.89,102.21,102.21,14.55,14.24,9127,98522275.0,12.96,4.07,62.2,97.86,10465656000,2513440173,13.0,20210609
2021-10-29,sz300027,300027,华谊兄弟,3.54,3.68,3.22,3.22,13.83,0.43,848628,293440288.0,14.79,3.78,12.66,3.11,9838562413,7945770522,2.76,20091030
2021-10-29,sz301013,301013,利和兴,29.84,31.0,26.33,26.83,13.16,3.47,104093,296520896.0,17.71,31.31,228.98,26.37,4649928527,992069771,5.17,20210629
2021-10-29,sz300494,300494,盛天网络,15.48,15.87,13.7,13.7,13.16,1.8,217238,329266544.0,15.86,12.09,25.1,13.68,3715200000,2781566014,4.56,20151231
2021-10-29,sz300833,300833,浩洋股份,73.7,75.75,67.32,67.32,13.11,8.54,19461,139404026.0,12.94,9.23,50.38,65.16,6214899900,1553743400,3.43,20200520
2021-10-29,sh688138,688138,清溢光电,16.16,16.92,14.72,14.72,13.01,1.86,54922,88959651.0,15.38,7.02,104.42,14.3,4311488000,1263873600,3.64,20191120
2021-10-29,sh688111,688111,金山办公,295.28,298.68,270.0,270.0,12.51,32.83,46111,1334565552.0,10.93,2.14,120.41,262.45,136124080000,63727167491,18.13,20191118
2021-10-29,sz300320,300320,海达股份,10.87,11.64,9.42,9.58,11.95,1.16,641923,666166752.0,22.86,13.0,35.53,9.71,6535415656,5367967145,3.32,20120601
2021-10-29,sh688008,688008,澜起科技,65.1,67.45,59.6,60.0,11.66,6.8,243300,1549041792.0,13.46,5.73,107.76,58.3,73630075199,27654982312,8.79,20190722
2021-10-29,sh688800,688800,瑞可达,85.93,89.89,79.99,80.0,11.6,8.93,22387,190060653.0,12.86,10.19,97.35,77.0,9280440000,1887975162,9.72,20210722
2021-10-29,sz300682,300682,朗新科技,32.38,33.0,28.9,29.34,11.46,3.33,131645,410244160.0,14.11,1.83,135.72,29.05,33414639759,23246593378,6.16,20170801
2021-10-29,sz300915,300915,海融科技,57.49,60.0,51.89,51.89,11.01,5.7,33931,190914784.0,15.66,15.08,41.49,51.79,5174100000,1293525000,3.75,20201202
2021-10-29,sz300680,300680,隆盛科技,30.43,30.63,27.8,27.99,10.98,3.01,84876,251645011.0,10.32,6.07,64.82,27.42,6142337737,4256175815,7.04,20170725
2021-10-29,sz300536,300536,农尚环境,22.02,22.56,19.88,19.89,10.82,2.15,63094,135578232.0,13.49,2.65,1995.58,19.87,6458204689,5233032808,10.58,20160920
2021-10-29,sz300752,300752,隆利科技,25.18,26.5,22.29,22.4,10.78,2.45,132584,326485392.0,18.52,20.68,-33.9,22.73,5092330531,1614240674,5.32,20181130
2021-10-29,sz300469,300469,信息发展,13.5,14.29,11.81,12.02,10.75,1.31,168441,225236447.0,20.34,9.11,-123.64,12.19,2769327576,2495486570,12.51,20150611
2021-10-29,sh688033,688033,天宜上佳,28.52,29.38,26.2,26.2,10.59,2.73,103892,287674464.0,12.33,3.4,95.76,25.79,12797984602,8719097552,5.1,20190722
2021-10-29,sz300967,300967,晓鸣股份,27.9,29.5,25.01,25.24,10.54,2.66,216155,590010000.0,17.79,45.99,50.91,25.24,5231417400,1311300000,6.38,20210413
2021-10-29,sz300777,300777,中简科技,56.4,56.94,50.18,50.21,10.5,5.36,164555,903106128.0,13.24,6.27,116.67,51.04,22560564000,14791392259,17.5,20190516
2021-10-29,sh688329,688329,艾隆科技,35.99,36.1,32.2,32.63,10.43,3.4,11079,38466754.0,11.97,6.55,52.55,32.59,2778428000,608504524,3.83,20210329
2021-10-29,sz300505,300505,川金诺,43.08,44.37,39.69,39.99,10.38,4.05,210849,890394048.0,11.99,20.8,46.18,39.03,6158939007,4366520863,5.19,20160315
2021-10-29,sz000809,000809,铁岭新城,2.92,2.92,2.6,2.63,10.19,0.27,239859,68044011.0,12.08,2.91,-23.78,2.65,2408390576,2408390576,0.81,19980616
2021-10-29,sh688303,688303,大全能源,81.07,82.39,74.63,76.3,10.15,7.47,262179,2046340544.0,10.54,13.21,26.17,73.6,156059750000,16094639990,10.26,20210722
2021-10-29,sh600530,600530,交大昂立,3.37,3.37,3.02,3.02,10.13,0.31,141724,46546512.0,11.44,1.82,83.0,3.06,2628600000,2628600000,3.05,20010702
2021-10-29,sz002687,002687,乔治白,6.67,6.67,6.15,6.4,10.07,0.61,221553,141647823.0,8.58,7.96,17.1,6.06,2334500000,1856847960,1.94,20120713
2021-10-29,sh601969,601969,海南矿业,15.24,15.24,13.8,13.85,10.04,1.39,523291,771731232.0,10.4,2.68,23.63,13.85,30810734350,29789937585,5.8,20141209
2021-10-29,sz002946,002946,新乳业,15.9,15.9,14.47,14.6,10.03,1.45,135264,209783479.0,9.9,9.25,40.39,14.45,13789610665,2325447711,5.42,20190125
2021-10-29,sz000681,000681,视觉中国,13.27,13.27,12.02,12.06,10.03,1.21,274676,354066528.0,10.36,4.54,46.23,12.06,9296662576,8023282160,2.82,19970121
2021-10-29,sz000930,000930,中粮科技,10.64,10.64,9.68,9.69,10.03,0.97,557543,568652096.0,9.93,5.78,15.82,9.67,19851239392,10261244494,1.77,19990712
2021-10-29,sh603836,603836,海程邦达,19.97,19.97,19.97,19.97,10.03,1.82,17313,34574361.0,0.0,3.37,8.52,18.15,4098547683,1024660700,2.05,20210526
