trade_date,stock_code,code,name,trade,high,low,open,changepercent,pricechange,volume,amount,amplitude,turnover,dynamic_pe,presettlement,aggregate_value,market_value,pb,first_trade_date
2021-10-28,sz002869,002869,金溢科技,13.27,13.6,13.24,13.42,-1.92,-0.26,13813,18484287.0,2.66,0.89,-21.75,13.53,2390571351,2059760005,1.02,20170515
2021-10-28,sh603110,603110,东方材料,30.09,31.46,30.01,30.68,-1.92,-0.59,8576,26233508.0,4.73,0.43,75.32,30.68,6054912366,6054912366,8.8,20171013
2021-10-28,sh601827,601827,三峰环境,8.67,8.96,8.62,8.75,-1.92,-0.17,162297,142137168.0,3.85,2.03,9.96,8.84,14550583560,6933754470,1.75,20200605
2021-10-28,sh600368,600368,五洲交通,3.57,3.64,3.54,3.61,-1.92,-0.07,107543,38512659.0,2.75,0.96,5.14,3.64,4018506483,4018506483,0.77,20001221
2021-10-28,sz300860,300860,锋尚文化,38.25,38.94,38.0,38.94,-1.92,-0.75,6162,23617574.0,2.41,1.47,39.56,39.0,5237982081,1604231928,1.64,20200824
2021-10-28,sz002358,002358,ST森源,2.55,2.6,2.52,2.59,-1.92,-0.05,73401,18747463.0,3.08,0.81,-39.26,2.6,2370880291,2321584464,0.68,20100210
2021-10-28,sz300732,300732,设研院,10.69,10.91,10.64,10.89,-1.93,-0.21,14607,15667626.0,2.48,0.55,13.49,10.9,2942918537,2862856509,1.2,20171212
2021-10-28,sz300561,300561,汇金科技,9.66,9.98,9.58,9.85,-1.93,-0.19,22524,21864188.0,4.06,1.29,123.59,9.85,3169523039,1688310860,4.81,20161117
2021-10-28,sh603709,603709,中源家居,14.72,15.07,14.6,15.06,-1.93,-0.29,4029,5932190.0,3.13,0.5,55.84,15.01,1177600000,1177600000,1.84,20180208
2021-10-28,sh601989,601989,中国重工,4.06,4.14,4.03,4.1,-1.93,-0.08,933242,379949776.0,2.66,0.42,292.8,4.14,92576263415,89660241325,1.09,20091216
2021-10-28,sz002716,002716,金贵银业,3.55,3.62,3.54,3.57,-1.93,-0.07,99561,35442734.0,2.21,0.5,1161.19,3.62,7847200762,7121427143,3.99,20140128
2021-10-28,sh688168,688168,安博通,45.6,46.53,45.6,46.5,-1.94,-0.9,3734,17218997.0,2.0,1.31,135.77,46.5,2333808000,1299600000,2.29,20190906
2021-10-28,sz000553,000553,安道麦A,7.6,7.79,7.55,7.78,-1.94,-0.15,53920,40938010.0,3.1,0.25,-3391.2,7.75,17706569422,16545712704,0.84,19931203
2021-10-28,sh600846,600846,同济科技,7.58,7.72,7.56,7.72,-1.94,-0.15,24385,18552390.0,2.07,0.39,7.12,7.73,4735692291,4735692291,1.49,19940311
2021-10-28,sz002925,002925,盈趣科技,31.33,32.15,31.0,31.94,-1.94,-0.62,32228,101150671.0,3.6,0.44,21.47,31.95,24490872446,22895532774,4.99,20180115
2021-10-28,sz000948,000948,南天信息,12.63,12.94,12.54,12.86,-1.94,-0.25,62108,78824094.0,3.11,1.86,108.4,12.88,4814122501,4224758176,2.11,19991014
2021-10-28,sh601375,601375,中原证券,4.53,4.64,4.52,4.6,-1.95,-0.09,374733,171853592.0,2.6,1.09,45.93,4.62,21032267691,15617264241,1.56,20170103
2021-10-28,sz002664,002664,长鹰信质,16.6,16.92,16.4,16.92,-1.95,-0.33,21805,36154759.0,3.07,0.56,29.04,16.93,6704076000,6510941026,2.35,20120316
2021-10-28,sz002727,002727,一心堂,31.18,32.09,30.18,31.33,-1.95,-0.62,115578,362091760.0,6.01,2.91,17.74,31.8,18588908770,12383571431,3.02,20140702
2021-10-28,sh603823,603823,百合花,14.58,14.96,14.56,14.75,-1.95,-0.29,15391,22613188.0,2.69,0.49,15.68,14.87,4632433416,4592700000,2.49,20161220
2021-10-28,sh601999,601999,出版传媒,5.53,5.62,5.51,5.6,-1.95,-0.11,17884,9942136.0,1.95,0.32,96.26,5.64,3046558291,3046558291,1.3,20071221
2021-10-28,sh600078,600078,*ST澄星,6.03,6.45,5.94,6.13,-1.95,-0.12,234184,144207942.0,8.29,3.53,-162.57,6.15,3995314352,3995314352,-8.18,19970627
2021-10-28,sh603416,603416,信捷电气,43.2,44.05,42.31,43.59,-1.95,-0.86,4454,19184707.0,3.95,0.49,19.8,44.06,6072192000,3940913088,3.73,20161221
2021-10-28,sh605055,605055,迎丰股份,7.03,7.22,6.98,7.2,-1.95,-0.14,13683,9669634.0,3.35,1.71,37.44,7.17,3093200000,562400000,2.75,20210129
2021-10-28,sh688655,688655,迅捷兴,16.53,16.96,16.46,16.68,-1.96,-0.33,5139,8533876.0,2.97,1.61,28.97,16.86,2204936700,528283857,3.44,20210511
2021-10-28,sz002803,002803,吉宏股份,14.52,14.94,14.41,14.88,-1.96,-0.29,45118,65843843.0,3.58,1.59,15.5,14.81,5626210878,4117253492,2.76,20160712
2021-10-28,sz002877,002877,智能自控,6.0,6.15,5.98,6.05,-1.96,-0.12,12727,7666605.0,2.78,0.62,37.09,6.12,1995144612,1235185866,2.63,20170605
2021-10-28,sz002277,002277,友阿股份,3.0,3.06,2.98,3.05,-1.96,-0.06,145879,43920667.0,2.61,1.05,15.02,3.06,4182518400,4182518400,0.63,20090717
2021-10-28,sz000564,000564,*ST大集,4.0,4.13,4.0,4.08,-1.96,-0.08,149654,60919710.0,3.19,0.75,-48.14,4.08,23928016096,8023810236,0.95,19940110
2021-10-28,sz300568,300568,星源材质,52.98,56.2,52.06,54.06,-1.96,-1.06,198451,1072154800.0,7.66,2.96,143.81,54.04,40710282489,35467457980,9.75,20161201
2021-10-28,sh600438,600438,通威股份,55.44,56.53,54.6,56.18,-1.96,-1.11,580234,3231451376.0,3.41,1.29,31.49,56.55,249565831321,249565831321,7.08,20040302
2021-10-28,sz000158,000158,常山北明,6.49,6.75,6.34,6.54,-1.96,-0.13,329937,216002072.0,6.19,2.09,-232.06,6.62,10375022519,10234995558,1.73,20000724
2021-10-28,sz300381,300381,溢多利,9.98,10.2,9.9,10.18,-1.96,-0.2,31846,31779387.0,2.95,0.67,51.54,10.18,4890850057,4756594397,1.64,20140128
2021-10-28,sh688686,688686,奥普特,269.27,279.24,267.0,276.55,-1.97,-5.4,3728,101778790.0,4.46,2.1,76.42,274.67,22208223661,4791275132,9.15,20201231
2021-10-28,sh600279,600279,重庆港九,3.49,3.57,3.48,3.57,-1.97,-0.07,28668,10064958.0,2.53,0.33,94.81,3.56,4142163328,3036035423,0.75,20000731
2021-10-28,sh603661,603661,恒林股份,35.39,36.11,35.3,36.11,-1.97,-0.71,3054,10849039.0,2.24,0.31,10.64,36.1,3539000000,3539000000,1.25,20171121
2021-10-28,sh603365,603365,水星家纺,14.95,15.13,14.62,14.9,-1.97,-0.3,23185,34464712.0,3.34,0.87,11.96,15.25,3986716500,3986716500,1.59,20171120
2021-10-28,sz000990,000990,诚志股份,13.94,14.35,13.88,14.18,-1.97,-0.28,129188,181195192.0,3.31,1.03,11.86,14.22,17466986151,17466973605,0.99,20000706
2021-10-28,sh600249,600249,两面针,4.48,4.56,4.47,4.56,-1.97,-0.09,38733,17453460.0,1.97,0.7,641.63,4.57,2464000000,2464000000,1.16,20040130
2021-10-28,sh600098,600098,广州发展,7.46,7.76,7.37,7.53,-1.97,-0.15,172708,129749247.0,5.12,0.64,15.32,7.61,20337426323,20134066827,1.14,19970718
2021-10-28,sz300877,300877,金春股份,22.84,23.45,22.8,23.45,-1.97,-0.46,8113,18646316.0,2.79,1.61,26.11,23.3,2740800000,1153420000,1.7,20200824
2021-10-28,sz002322,002322,理工环科,8.93,9.1,8.84,9.1,-1.98,-0.18,22076,19732635.0,2.85,0.59,14.53,9.11,3542193491,3358429352,1.17,20091218
2021-10-28,sh600881,600881,亚泰集团,3.47,3.57,3.44,3.5,-1.98,-0.07,306150,106932288.0,3.67,0.94,266.25,3.54,11273730150,11273730150,0.77,19951115
2021-10-28,sh600222,600222,太龙药业,7.93,8.1,7.84,8.03,-1.98,-0.16,83288,66238147.0,3.21,1.45,83.71,8.09,4550918224,4550918224,2.69,19991105
2021-10-28,sh600320,600320,振华重工,3.46,3.56,3.44,3.53,-1.98,-0.07,231962,80737179.0,3.4,0.7,106.25,3.53,18228503113,11494111907,1.29,20001221
2021-10-28,sh605018,605018,长华股份,11.86,12.14,11.85,12.1,-1.98,-0.24,11394,13643038.0,2.4,2.73,32.67,12.1,4941824800,494324800,2.5,20200929
2021-10-28,sh600765,600765,中航重机,37.54,39.37,37.38,38.72,-1.98,-0.76,140282,534059776.0,5.2,1.64,48.66,38.3,39478514395,32186878550,4.32,19961106
2021-10-28,sz002769,002769,普路通,5.43,5.57,5.41,5.57,-1.99,-0.11,18259,9961167.0,2.89,0.69,30.07,5.54,2027117033,1432121894,1.38,20150629
2021-10-28,sh603757,603757,大元泵业,14.79,15.14,14.71,15.1,-1.99,-0.3,11475,17046995.0,2.85,0.7,16.96,15.09,2489245740,2429227920,2.09,20170711
2021-10-28,sh603188,603188,亚邦股份,4.92,5.05,4.83,5.02,-1.99,-0.1,30289,14916186.0,4.38,0.53,-12.37,5.02,2833920000,2833920000,1.27,20140909
2021-10-28,sz000617,000617,中油资本,4.92,5.01,4.91,5.0,-1.99,-0.1,111553,55103863.0,1.99,0.09,8.94,5.02,62199029069,62199029069,0.69,19961022
2021-10-28,sz300145,300145,中金环境,2.95,3.0,2.89,2.96,-1.99,-0.06,307086,90217298.0,3.65,1.77,26.94,3.01,5674142796,5125773524,1.9,20101209
2021-10-28,sz002457,002457,青龙管业,7.37,7.52,7.34,7.52,-1.99,-0.15,36405,26941695.0,2.39,1.09,21.58,7.52,2468891040,2467756790,1.16,20100803
2021-10-28,sz300412,300412,迦南科技,7.84,8.06,7.8,7.97,-2.0,-0.16,39431,31217245.0,3.25,1.77,26.22,8.0,2016643216,1744129473,2.36,20141231
2021-10-28,sz000530,000530,冰山冷热,3.43,3.5,3.42,3.48,-2.0,-0.07,45102,15543967.0,2.29,0.75,-52.21,3.5,2892218899,2052927263,0.87,19931208
2021-10-28,sz002401,002401,中远海科,8.81,9.02,8.81,8.92,-2.0,-0.18,14820,13147024.0,2.34,0.41,18.77,8.99,3278191133,3196598093,2.63,20100506
2021-10-28,sz300624,300624,万兴科技,41.04,43.0,40.91,41.01,-2.01,-0.84,18305,76561512.0,4.99,1.65,182.76,41.88,5333026522,4542025255,6.33,20180118
2021-10-28,sz002486,002486,嘉麟杰,2.44,2.51,2.4,2.51,-2.01,-0.05,47550,11637588.0,4.42,0.57,1464.64,2.49,2030080000,2030080000,2.16,20101015
2021-10-28,sh688333,688333,铂力特,218.52,221.99,217.94,221.99,-2.01,-4.48,1557,34183248.0,1.82,0.34,-109.26,223.0,17481600000,9917694309,15.09,20190722
2021-10-28,sh601233,601233,桐昆股份,19.97,20.4,19.44,20.27,-2.01,-0.41,462914,915267536.0,4.71,2.02,5.82,20.38,48150056275,45681994809,1.46,20110518
2021-10-28,sh688368,688368,晶丰明源,319.92,335.0,315.0,326.5,-2.02,-6.58,7115,229304492.0,6.13,4.37,25.95,326.5,19844663194,5208323194,10.49,20191014
2021-10-28,sh600100,600100,同方股份,5.34,5.47,5.33,5.46,-2.02,-0.11,118002,63589468.0,2.57,0.4,-16.97,5.45,17890589787,15827220398,1.0,19970627
2021-10-28,sh600067,600067,冠城大通,3.88,4.02,3.87,3.99,-2.02,-0.08,118793,46520837.0,3.79,0.8,39.94,3.96,5789389613,5789389613,0.72,19970508
2021-10-28,sz002291,002291,星期六,19.88,20.23,19.5,20.13,-2.02,-0.41,157260,312196912.0,3.6,2.56,-152.9,20.29,18087643354,12219637195,2.91,20090903
2021-10-28,sz002747,002747,埃斯顿,25.17,26.2,24.98,25.29,-2.02,-0.52,123483,315968800.0,4.75,1.67,186.66,25.69,21863627848,18638298566,8.58,20150320
2021-10-28,sz300200,300200,高盟新材,8.71,8.94,8.69,8.89,-2.02,-0.18,35905,31632545.0,2.81,0.87,19.07,8.89,3706317811,3614386845,2.06,20110407
2021-10-28,sz002042,002042,华孚时尚,4.35,4.51,4.28,4.51,-2.03,-0.09,226713,98325686.0,5.18,1.49,13.14,4.44,7802396597,6603932351,1.09,20050427
2021-10-28,sz000421,000421,南京公用,4.35,4.45,4.33,4.42,-2.03,-0.09,26259,11453721.0,2.7,0.46,1676.29,4.44,2491014163,2491014163,0.89,19960806
2021-10-28,sh601369,601369,陕鼓动力,12.08,12.4,11.92,12.28,-2.03,-0.25,118584,143682386.0,3.89,0.72,20.96,12.33,20859420123,19941680779,2.86,20100428
2021-10-28,sz002441,002441,众业达,7.73,7.94,7.69,7.81,-2.03,-0.16,44054,34222556.0,3.17,1.1,9.98,7.89,4209322098,3083079804,0.99,20100706
2021-10-28,sh603682,603682,锦和商业,5.3,5.44,5.27,5.44,-2.03,-0.11,17642,9389141.0,3.14,0.98,19.38,5.41,2504250000,951615000,2.45,20200421
2021-10-28,sh600678,600678,四川金顶,5.3,5.46,5.28,5.38,-2.03,-0.11,46821,24983122.0,3.33,1.34,19.78,5.41,1849647000,1849647000,8.53,19931008
2021-10-28,sh601377,601377,兴业证券,9.15,9.39,9.13,9.31,-2.03,-0.19,899295,834722432.0,2.78,1.34,12.56,9.34,61274545817,61274545817,1.63,20101013
2021-10-28,sz002503,002503,搜于特,1.44,1.47,1.43,1.47,-2.04,-0.03,366535,53132015.0,2.72,1.44,-1.67,1.47,4453590555,3661873299,1.93,20101117
2021-10-28,sz002062,002062,宏润建设,3.84,3.92,3.82,3.91,-2.04,-0.08,23065,8892990.0,2.55,0.24,11.87,3.92,4233600000,3719645660,1.14,20060816
2021-10-28,sz300872,300872,天阳科技,28.31,29.09,28.3,28.7,-2.04,-0.59,15022,42928627.0,2.73,1.06,39.68,28.9,6360748269,4030584075,2.79,20200824
2021-10-28,sz300331,300331,苏大维格,25.42,26.29,25.22,25.7,-2.04,-0.53,31758,81516690.0,4.12,1.92,94.2,25.95,6600615310,4205054439,2.76,20120628
2021-10-28,sz300534,300534,陇神戎发,5.27,5.42,5.24,5.35,-2.04,-0.11,39781,21108932.0,3.35,1.32,-146.45,5.38,1598628150,1585903055,2.22,20160913
2021-10-28,sh600748,600748,上实发展,3.83,3.93,3.82,3.91,-2.05,-0.08,51427,19850055.0,2.81,0.28,10.27,3.91,7064675876,7064675876,0.63,19960925
2021-10-28,sh600795,600795,国电电力,2.87,3.0,2.84,2.92,-2.05,-0.06,2186863,634941712.0,5.46,1.23,10.75,2.93,51188226765,51188226765,1.02,19970318
2021-10-28,sz300668,300668,杰恩设计,11.95,12.27,11.87,12.22,-2.05,-0.25,11389,13722810.0,3.28,2.03,45.57,12.2,1259530000,670062802,2.7,20170619
2021-10-28,sz002883,002883,中设股份,9.56,9.79,9.51,9.79,-2.05,-0.2,5367,5163492.0,2.87,0.62,22.45,9.76,1245265065,833636226,2.14,20170620
2021-10-28,sh600789,600789,鲁抗医药,6.69,6.86,6.68,6.83,-2.05,-0.14,64111,43297431.0,2.64,0.73,41.88,6.83,5888945555,5888945555,1.79,19970226
2021-10-28,sz300767,300767,震安科技,92.07,96.0,90.85,93.09,-2.05,-1.93,19899,183561170.0,5.48,1.69,177.72,94.0,18584656256,10861079534,16.23,20190329
2021-10-28,sh603970,603970,中农立华,20.5,20.99,20.33,20.93,-2.05,-0.43,14756,30323851.0,3.15,1.54,21.56,20.93,3936001968,1958161968,3.5,20171116
2021-10-28,sz300982,300982,苏文电能,63.4,67.2,63.02,64.0,-2.05,-1.33,14721,94938959.0,6.46,4.42,32.72,64.73,8896178128,2109404224,6.62,20210427
