,trade_date,symbol,code,name,trade,high,low,open,changepercent,pricechange,volume,amount,amplitude,turnover,dynamic_pe,presettlement,aggregate_value,market_value,pb,first_trade_date
0,2021-10-18,sh688272,688272,N富吉瑞,46.11,50.49,40.0,41.0,104.39,23.55,113527,497819248.0,46.5,73.44,55.36,22.56,3504360000,712769809,5.39,20211018
1,2021-10-18,sz301085,301085,N亚康,35.45,42.77,35.44,42.77,65.35,14.01,99875,375893536.0,34.19,49.94,32.29,21.44,2836000000,709000000,3.7,20211018
2,2021-10-18,sz301080,301080,N百普,168.82,199.0,166.84,198.0,50.06,56.32,88306,1568004672.0,28.59,44.15,93.65,112.5,13505600000,3376400000,5.71,20211018
3,2021-10-18,sz300969,300969,恒帅股份,102.53,102.53,88.0,88.29,20.0,17.09,32111,316189648.0,17.01,16.06,66.9,85.44,8202400000,2050600000,11.2,20210412
4,2021-10-18,sz300845,300845,捷安高科,24.3,24.3,19.65,19.88,20.0,4.05,174635,406958336.0,22.96,27.61,128.75,20.25,2244250800,1536805483,3.11,20200703
5,2021-10-18,sz301066,301066,万事利,28.63,28.63,26.0,26.0,19.99,4.77,139998,388408880.0,11.02,48.77,53.5,23.86,3851802326,821787103,6.01,20210922
6,2021-10-18,sh688033,688033,天宜上佳,27.85,27.85,22.75,23.75,19.99,4.64,245032,645293152.0,21.97,8.01,110.78,23.21,12497330686,8514266018,5.08,20190722
7,2021-10-18,sz300472,300472,新元科技,22.55,23.33,18.56,19.85,16.0,3.11,506200,1074913456.0,24.54,22.1,84.11,19.44,6012306279,5165538648,5.02,20150611
8,2021-10-18,sz300354,300354,东华测试,32.45,33.14,27.22,27.22,15.85,4.44,51825,160490100.0,21.14,6.59,144.2,28.01,4488490522,2550024256,10.49,20120920
9,2021-10-18,sh688556,688556,高测股份,61.25,61.48,52.0,52.97,15.57,8.25,76222,438004608.0,17.89,6.9,67.86,53.0,9913398250,6763886684,9.49,20200807
10,2021-10-18,sz300513,300513,恒实科技,13.68,13.77,11.68,11.9,14.86,1.77,288100,375347408.0,17.55,11.75,63.01,11.91,4291295000,3353101011,1.68,20160530
11,2021-10-18,sz300690,300690,双一科技,29.82,31.18,27.05,27.05,14.78,3.84,180773,538942064.0,15.9,16.63,23.45,25.98,4959595514,3242095944,3.86,20170808
12,2021-10-18,sz300682,300682,朗新科技,28.97,29.25,24.92,25.47,13.88,3.53,192287,520307360.0,17.02,2.68,126.3,25.44,29895679859,20798449974,5.68,20170801
13,2021-10-18,sz300729,300729,乐歌股份,25.2,25.86,22.08,22.08,13.51,3.0,97363,237465642.0,17.03,5.6,27.24,22.2,4576401522,4381573316,4.35,20171201
14,2021-10-18,sz301071,301071,力量钻石,313.0,313.0,265.08,268.0,13.41,37.0,39988,1136251488.0,17.36,26.49,87.48,276.0,18896429740,4724107435,22.86,20210924
15,2021-10-18,sz300268,300268,佳沃食品,22.35,22.66,19.6,20.2,12.88,2.55,132295,284200560.0,15.45,9.89,-14.27,19.8,3893370000,2989855046,-7.49,20110927
16,2021-10-18,sz300619,300619,金银河,58.1,60.5,51.45,51.6,12.58,6.49,73317,411979872.0,17.54,12.78,308.28,51.61,4383700253,3334134095,8.7,20170301
17,2021-10-18,sh688668,688668,鼎通科技,46.08,48.0,40.91,40.91,11.82,4.87,14543,66608576.0,17.2,6.91,34.25,41.21,3923251200,970122240,5.24,20201221
18,2021-10-18,sz300083,300083,创世纪,15.04,15.88,13.5,13.57,11.66,1.57,1165023,1728063216.0,17.67,8.91,42.04,13.47,22956760900,19673626811,7.69,20100520
19,2021-10-18,sz300069,300069,金利华电,28.7,28.7,25.88,25.93,10.81,2.8,36487,101861171.0,10.89,3.12,3400.59,25.9,3357900000,3357900000,11.08,20100421
0,2021-10-18,sz300769,300769,德方纳米,485.0,498.88,431.0,438.0,10.19,44.85,27915,1294830112.0,15.42,5.13,160.15,440.15,43274940770,26410747750,19.14,20190415
1,2021-10-18,sh600545,600545,卓郎智能,3.04,3.04,2.7,2.76,10.14,0.28,400247,119055678.0,12.32,2.11,-55.08,2.76,5762055505,5762055505,1.52,20031203
2,2021-10-18,sz000630,000630,铜陵有色,4.57,4.57,4.17,4.28,10.12,0.42,5876338,2588988288.0,9.64,5.58,18.21,4.15,48106257218,48105615896,2.41,19961120
3,2021-10-18,sh600973,600973,宝胜股份,4.79,4.79,4.35,4.35,10.11,0.44,254922,118298680.0,10.11,2.04,16.99,4.35,6568844328,5996904030,1.45,20040802
4,2021-10-18,sh688772,688772,珠海冠宇,37.05,38.16,34.45,35.0,10.1,3.4,552866,2005040656.0,11.03,53.32,38.28,33.65,41564755426,3841558482,6.74,20211015
5,2021-10-18,sh600617,600617,国新能源,5.34,5.34,4.83,4.84,10.1,0.49,163108,84714045.0,10.52,1.67,117.59,4.85,7358488633,5206042597,1.79,19921013
6,2021-10-18,sh601218,601218,吉鑫科技,4.36,4.36,3.95,3.96,10.1,0.4,132731,56840491.0,10.35,1.36,25.83,3.96,4261289600,4261289600,1.63,20110506
7,2021-10-18,sz002610,002610,爱康科技,5.02,5.02,4.56,4.63,10.09,0.46,5454102,2683066240.0,10.09,12.44,-140.64,4.56,22503103474,22012027827,5.62,20110815
8,2021-10-18,sh603366,603366,日出东方,5.13,5.13,4.78,4.78,10.09,0.47,208933,106072636.0,7.51,2.61,60.62,4.66,4221477000,4104000000,1.27,20120521
9,2021-10-18,sh600583,600583,海油工程,5.24,5.24,4.8,4.8,10.08,0.48,1398663,715760720.0,9.24,3.16,28.98,4.76,23167899152,23167899152,1.02,20020205
10,2021-10-18,sz000558,000558,莱茵体育,4.04,4.04,3.62,3.69,10.08,0.37,817894,317101344.0,11.44,6.35,-51.62,3.67,5208464754,5205200345,4.46,19940509
11,2021-10-18,sz000862,000862,银星能源,8.31,8.31,7.52,7.56,10.07,0.76,788213,634373104.0,10.46,15.72,27.25,7.55,5867848865,4166242516,2.12,19980915
12,2021-10-18,sh600026,600026,中远海能,6.89,6.89,6.2,6.21,10.06,0.63,431482,290751616.0,11.02,1.51,30.18,6.26,32814947088,19739661820,0.98,20020523
13,2021-10-18,sh600971,600971,恒源煤电,8.43,8.43,7.7,7.7,10.05,0.77,501160,415407824.0,9.53,4.18,10.24,7.66,10116041172,10116041172,1.09,20040817
14,2021-10-18,sh600609,600609,金杯汽车,6.35,6.35,5.71,5.71,10.05,0.58,356767,220567866.0,11.09,3.27,26.28,5.77,8326123543,6938436288,15.03,19920724
15,2021-10-18,sz002256,002256,兆新股份,4.27,4.27,3.83,3.86,10.05,0.39,651609,268616144.0,11.34,4.68,-55.71,3.88,8037898693,5940408615,5.02,20080625
16,2021-10-18,sh600995,600995,文山电力,8.76,8.76,8.76,8.76,10.05,0.8,25208,22081858.0,0.0,0.53,17.08,7.96,4191891264,4191891264,1.87,20040615
17,2021-10-18,sh600331,600331,宏达股份,4.38,4.38,3.98,3.98,10.05,0.4,1153113,485659264.0,10.05,5.67,19.96,3.98,8900160000,8900160000,32.56,20011220
18,2021-10-18,sz002828,002828,贝肯能源,9.42,9.42,8.5,8.6,10.05,0.86,149169,134950076.0,10.75,9.68,34.45,8.56,1893303192,1451770742,1.9,20161208
19,2021-10-18,sz002270,002270,华明装备,8.77,8.77,7.95,7.97,10.04,0.8,544591,463207120.0,10.29,7.17,11.09,7.97,6658527170,6658401215,2.41,20080905
0,2021-10-18,sz002114,002114,罗平锌电,9.32,9.32,8.94,8.98,10.04,0.85,322133,296698096.0,4.49,9.96,45.49,8.47,3014043888,3014002470,2.04,20070215
1,2021-10-18,sz002779,002779,中坚科技,15.57,15.57,13.89,14.21,10.04,1.42,57678,86774200.0,11.87,4.87,269.7,14.15,2055240000,1844025554,3.31,20151209
2,2021-10-18,sh601918,601918,新集能源,6.47,6.47,5.85,5.85,10.03,0.59,1526870,958857680.0,10.54,5.89,7.26,5.88,16760805446,16760805446,2.06,20071219
3,2021-10-18,sz000899,000899,赣能股份,7.46,7.46,6.22,6.26,10.03,0.68,897742,603952288.0,18.29,9.2,47.66,6.78,7278556090,7278535090,1.46,19971126
4,2021-10-18,sh603045,603045,福达合金,15.36,15.36,15.36,15.36,10.03,1.4,4459,6849239.0,0.0,0.32,29.76,13.96,2113843200,2113843200,2.49,20180517
5,2021-10-18,sz002533,002533,金杯电工,8.12,8.12,7.4,7.46,10.03,0.74,256630,201494249.0,9.76,4.29,18.05,7.38,5960480698,4859224114,1.81,20101231
6,2021-10-18,sh601068,601068,中铝国际,4.61,4.61,4.2,4.21,10.02,0.42,274949,122858862.0,9.79,1.07,2026.42,4.19,13641297335,11799712975,2.2,20180831
7,2021-10-18,sh600499,600499,科达制造,19.1,19.1,17.1,17.2,10.02,1.74,917950,1705614000.0,11.52,5.82,44.05,17.36,36068820644,30124628908,5.82,20021010
8,2021-10-18,sz002748,002748,世龙实业,10.43,10.43,9.36,9.41,10.02,0.95,83921,85232586.0,11.29,3.5,46.79,9.48,2503200000,2503200000,2.51,20150319
