trade_date,stock_code,code,name,trade,high,low,open,changepercent,pricechange,volume,amount,amplitude,turnover,dynamic_pe,presettlement,aggregate_value,market_value,pb,first_trade_date
2021-10-22,sz301083,301083,C百胜,23.4,24.63,17.37,17.68,38.63,6.52,281724,567802000.0,43.01,75.18,67.08,16.88,4162080008,876911326,5.83,20211021
2021-10-22,sz300052,300052,中青宝,19.13,19.13,15.64,15.64,20.01,3.19,798994,1413337152.0,21.89,30.59,218.07,15.94,5036341709,4996674755,7.1,20100211
2021-10-22,sz300672,300672,国科微,135.18,135.18,135.18,135.18,20.0,22.53,19588,264786934.0,0.0,1.13,100.65,112.65,24346877913,23395927438,17.42,20170712
2021-10-22,sz300619,300619,金银河,65.04,65.04,52.1,52.83,20.0,10.84,156652,953138464.0,23.87,27.3,345.1,54.2,4907329853,3732393830,9.73,20170301
2021-10-22,sz300537,300537,广信材料,17.7,17.7,14.82,14.93,20.0,2.95,203067,346400208.0,19.53,15.27,-447.88,14.75,3416588237,2353300526,3.11,20160830
2021-10-22,sz300336,300336,新文化,3.3,3.3,2.73,2.74,20.0,0.55,1285602,418289648.0,20.73,17.43,-14.34,2.75,2660559634,2434097447,11.04,20120710
2021-10-22,sz300402,300402,宝色股份,31.66,33.4,26.89,27.83,13.68,3.81,299586,893496688.0,23.38,14.83,139.23,27.85,6395320000,6395320000,10.59,20141010
2021-10-22,sz300444,300444,双杰电气,8.31,8.8,7.29,7.29,13.37,0.98,1571417,1294432400.0,20.6,30.4,263.54,7.33,6026873413,4296118741,4.07,20150423
2021-10-22,sh688301,688301,奕瑞科技,466.0,472.69,431.99,438.05,12.29,51.0,12743,579832768.0,9.81,3.13,77.81,415.0,33807286916,18989565240,11.73,20200918
2021-10-22,sz300031,300031,宝通科技,20.89,21.62,18.42,18.44,11.95,2.23,444026,890507856.0,17.15,13.68,16.64,18.66,8288928310,6779578222,2.69,20091225
2021-10-22,sz300620,300620,光库科技,61.71,63.5,55.05,55.19,11.77,6.5,30267,181522055.0,15.31,2.96,58.6,55.21,6749511318,6304432694,4.57,20170310
2021-10-22,sz301081,301081,C严牌,20.66,22.0,18.5,18.98,11.19,2.08,243391,484020528.0,18.84,65.22,40.57,18.58,3526042200,771036365,3.67,20211020
2021-10-22,sz300437,300437,清水源,28.4,30.9,26.08,26.5,10.29,2.65,481597,1375236976.0,18.72,31.52,247.74,25.75,6646302786,4338731786,5.26,20150423
2021-10-22,sz002615,002615,哈尔斯,6.02,6.02,5.48,5.52,10.05,0.55,290578,167814169.0,9.87,12.58,21.89,5.47,2481326550,1390002739,3.03,20110909
2021-10-22,sz000416,000416,民生控股,4.27,4.27,4.06,4.11,10.05,0.39,174243,73080564.0,5.41,3.28,202.16,3.88,2271091279,2270107488,2.55,19960719
2021-10-22,sh600995,600995,文山电力,12.83,12.83,12.83,12.83,10.03,1.17,26651,34192758.0,0.0,0.56,25.01,11.66,6139493712,6139493712,2.74,20040615
2021-10-22,sh600793,600793,宜宾纸业,16.23,16.23,14.75,14.94,10.03,1.48,142140,223146949.0,10.03,8.03,63.06,14.75,2871151952,2871151952,4.61,19970220
